,E,xmax,Nevent,size_1,size_2,dist_1,dist_2,zenith,azimuth,xc_1,yc_1,xc_2,yc_2,a_1,b_1,a_2,b_2,Xint,Yint,theta_int,Xground,Yground,nwidth,errorON,source_x,source_y
4650,93.0731,368.135,636278,7436.53,725.305,3.4800800000000005,1.57565,56.40530723185834,0.381011,2.79867,2.0684299999999998,1.56408,0.190583,-1.55974,6.43362408,3.10133,-4.66014078,2.3800897347604737,2.7213029171046994,129.4632310363505,23.76922739432366,11.880678902157399,,3.545200093462855,0.0834458607820893,0.02058623096255689
4651,9.26323,317.19,636493,215.89,240.988,3.3488300000000004,2.80653,57.67515359320678,0.79602,3.34669,0.119567,2.4895,-1.29576,1.21874,-3.9591774,1.3735700000000002,-4.71525498,4.8832757217593405,1.9922660531369778,3.3138107242040076,1309.4288332233864,1527.4522362668151,-1.7331066195765463,5.157992391706863,0.039726418915233666,0.21887504610433575
4652,12.4444,331.042,636648,282.177,240.601,3.4957,2.1481,52.24826924506616,0.00247684,-0.505109,3.4590099999999997,-1.10296,1.84332,2.04066,4.48976916,12.2413,15.345023399999999,-1.0641738400727796,2.3181521715170814,21.436427799810726,33.10323584472738,21.89888340885848,1.8392633639232967,2.5633309803810196,0.12290183088503345,0.0462549321153569
4653,23.2127,321.957,637102,1180.71,195.365,3.1918900000000003,2.0238,52.61731136090992,0.292574,-1.14765,2.97843,-1.68835,1.1159,-1.15719,1.65038688,1.9547,4.41610668,-0.8887588571575474,2.678849741914142,112.07394406532896,39.029251246235745,-19.229252257537432,2.5675420383147523,2.958026934972911,0.17467210281928425,-0.0814107424220714
4654,40.9391,386.11699999999996,637125,1414.49,815.081,2.15449,2.85882,55.48966337945977,0.755346,-1.66915,1.36226,-2.79278,-0.610928,1.22364,3.4047068400000002,1.80319,4.4249949,-1.7604832369942187,1.2505091318843942,10.245300543008986,366.84226749209034,392.8226936515642,2.683300126673483,2.1228141732181887,-0.0666804256388218,-0.029089262245801616
4655,12.2452,346.608,637138,61.8157,119.736,3.0673,1.13032,53.71057212979905,0.262179,0.342948,3.04806,-0.23331100000000002,1.10598,0.31671,2.9394441,-1.4054,0.77808708,-1.2550632770264383,2.5419530095329566,72.1400971788465,-124.03339470387331,-45.59875564619024,0.9207881568718161,2.7446797571520305,-0.1865943319958724,0.013783497252302717
4656,59.4959,349.80300000000005,637271,1343.66,161.482,1.90694,2.36265,59.80518149238513,0.723174,1.84673,-0.475375,0.817883,-2.21657,-3.1362,5.3163495,4.87197,-6.20126406,1.4382328996512312,0.8057634801138089,150.71555320002952,12.342264501017576,121.92771130258073,2.8031959608215624,1.6764639180207683,0.11669728356226117,-0.2257765742873239
4657,59.4959,349.80300000000005,637273,1221.23,695.238,3.1617599999999997,2.1185099999999997,59.80518149238513,0.723174,2.9365,1.17204,1.95534,-0.815301,-1.5694,5.78057508,0.468607,-1.73158686,3.6860334336437512,-0.004285790760502728,82.60339291835555,67.75917211668248,-29.027779614000792,3.373607375027163,3.770774956949323,-0.08446312620882844,0.041534162273428606
4658,59.4959,349.80300000000005,637275,119.805,658.07,1.97331,2.3607,59.80518149238513,0.723174,1.7888700000000002,-0.8330069999999999,0.669343,-2.26382,-32.0248,56.455151400000005,-0.949682,-1.6281603,1.869126022305048,-3.4032356391146976,44.68985373586577,-20.110559696875367,2340.9611385410435,,3.9053013732111808,-0.015628692847346255,0.01715592901254672
4659,59.4959,349.80300000000005,637276,757.54,228.303,3.60166,3.6905300000000003,59.80518149238513,0.723174,-2.7324599999999997,2.3464099999999997,-3.6311,0.659636,-0.13352,1.9815665400000002,0.7296,3.30889014,-1.5378204652887197,2.18689632852535,43.71964185244159,201.67335155914077,-25.973722058238423,2.5885534720608625,2.773197561376227,0.0642898062185823,-0.0766997910052191
